tag 1,tag 2,tag 3,tag 4,tag 5,tag 6,tag 7,tag 8,tag 9,tag 10
Photograph (0.9752526),Snapshot (0.8764809),Black-and-white (0.8265277),Vintage clothing (0.78438634),Photography (0.7700283),Romance (0.6823752),Stock photography (0.66633123),Monochrome (0.64315295),Retro style (0.61450857),Love (0.58878267)
Photograph (0.9790434),Vintage clothing (0.9234068),Snapshot (0.8927349),Lady (0.8641155),Hairstyle (0.8293982),Ceremony (0.796356),Wedding (0.7595578),Dress (0.74801785),Stock photography (0.745704),Photography (0.73799706)
Photograph (0.97558427),Vintage clothing (0.89027244),Snapshot (0.880887),Formal wear (0.8767238),Standing (0.83563834),Dress (0.7684006),Suit (0.7208877),Stock photography (0.6846679),Black-and-white (0.6834213),Retro style (0.6800467)
Bird (0.97623384),White (0.9757789),Photograph (0.9699864),Black-and-white (0.94508713),Water bird (0.92201406),Monochrome photography (0.90126336),Snapshot (0.893924),Swan (0.88914126),Monochrome (0.87489617),Photography (0.82616985)
Photograph (0.97558427),Snapshot (0.8982296),Photography (0.77525955),Black-and-white (0.74367446),Photographic paper (0.6281532),Vintage clothing (0.6085351),Stock photography (0.5944116),Smile (0.5404296),Family (0.5179361),Style (0.50951844)
Photograph (0.96965337),White (0.95944476),Standing (0.9317163),Snapshot (0.8835594),Black-and-white (0.86344093),Window (0.82107925),Monochrome (0.7240434),Photography (0.7060428),Gentleman (0.68999803),Monochrome photography (0.5780445)
Photograph (0.97208625),Snapshot (0.8473898),Retro style (0.8174493),Gentleman (0.7991611),Vintage clothing (0.79157007),Stock photography (0.7414734),Black-and-white (0.6834213),Classic (0.63818127),Photography (0.62422496),Family (0.5103591)
Photograph (0.9694192),Snapshot (0.85373634),Lady (0.8433756),Picture frame (0.81299317),Vintage clothing (0.7123725),Photography (0.62422496),Retro style (0.5526916),Painting (0.50389564),Art (0.5021872),null (null)
Photograph (0.9762159),Snapshot (0.8859124),Black-and-white (0.8535379),Photography (0.74846256),Monochrome (0.70229715),Room (0.6566393),Monochrome photography (0.64696777),Stock photography (0.63961476),Picture frame (0.63513607),Vintage clothing (0.57000184)
Photograph (0.9717897),Photographic paper (0.9118321),Snapshot (0.88386923),Black-and-white (0.7811979),Photography (0.7700283),Stock photography (0.69194746),Room (0.6566393),null (null),null (null),null (null)
Photograph (0.97420764),Snapshot (0.87014455),Black-and-white (0.8072261),Photography (0.75693494),Vintage clothing (0.7469241),Gentleman (0.7274816),Room (0.71392286),Stock photography (0.7136223),Monochrome (0.60101867),Monochrome photography (0.5780445)
Photograph (0.9704001),Snapshot (0.89253104),Black-and-white (0.7811979),Photography (0.7060428),Monochrome (0.67593247),Stock photography (0.66633123),History (0.60353696),Family (0.53715867),null (null),null (null)
Photograph (0.97872776),People (0.93434614),Snapshot (0.8889993),Black-and-white (0.8415112),Photography (0.8191667),Monochrome photography (0.7852431),Ceremony (0.7721408),Event (0.77152836),Wedding (0.76904416),Stock photography (0.75607276)
Photograph (0.97697306),People (0.93127215),Standing (0.8900103),Vintage clothing (0.8885062),Snapshot (0.88672835),Retro style (0.8777973),Classic (0.7982842),Stock photography (0.70905024),Dress (0.6939251),Black-and-white (0.6834213)
Photograph (0.97915995),Bridal veil (0.92307633),Photographic paper (0.915362),Snapshot (0.8941169),Bride (0.82439536),Veil (0.8062661),Photography (0.7876507),Vintage clothing (0.779335),Stock photography (0.76404685),Bridal accessory (0.7370956)
