tag 1,tag 2,tag 3,tag 4,tag 5,tag 6,tag 7,tag 8,tag 9,tag 10
People (0.9645936),Photograph (0.949849),Event (0.8575871),Child (0.83561254),Bridesmaid (0.82865846),Ceremony (0.79480016),Wedding (0.761146),Formal wear (0.73680705),Dress (0.73314714),Family (0.727336)
Child (0.76547754),Toy (0.6935546),Room (0.6566393),Play (0.5726272),Toddler (0.5167525),Art (0.5021872),null (null),null (null),null (null),null (null)
Product (0.8828333),Room (0.87004447),Interior design (0.711973),Textile (0.6563325),Curtain (0.6547849),Window covering (0.6438242),Window (0.6250683),Furniture (0.5674918),House (0.5369301),null (null)
People in nature (0.9789396),Photograph (0.9605495),Grass (0.82184535),Holding hands (0.8109592),Gesture (0.77992606),Tree (0.74697447),Lawn (0.7257907),Fun (0.7039424),Happy (0.6620502),Photography (0.62422496)
Photograph (0.9610321),Motor vehicle (0.9010037),Vehicle (0.8545079),Snapshot (0.8473898),Travel trailer (0.7897761),Car (0.71303743),Plant community (0.6891078),Grass (0.68802327),Tree (0.68692183),Photography (0.6778865)
Bride (0.9870116),Wedding dress (0.9814618),Dress (0.9656577),Photograph (0.96191007),Bridal clothing (0.9546058),Gown (0.94864786),Ceremony (0.89744973),Wedding (0.8958947),Wedding ceremony supply (0.8779103),Groom (0.8723291)
Land vehicle (0.9961627),Vehicle (0.99030316),Car (0.98701257),Motor vehicle (0.9783724),Classic (0.9224674),Classic car (0.9023371),Vintage car (0.7115441),Antique car (0.6995972),City car (0.64695525),Compact car (0.63926053)
Photograph (0.97243494),Male (0.8641409),Lady (0.8433756),Snapshot (0.8358544),Groom (0.7937699),Wedding (0.7862414),Ceremony (0.7814452),Vintage clothing (0.7685281),Formal wear (0.76479965),Gentleman (0.76051193)
Product (0.8828333),Child (0.8688534),Tricycle (0.86783034),Mode of transport (0.8588771),Snapshot (0.8563378),Text (0.85248786),Vehicle (0.83985645),Adaptation (0.7911608),Bicycle (0.7415737),Bicycle wheel (0.6724784)
Adaptation (0.8193526),Child (0.76547754),Sharing (0.73800564),Play (0.7289932),Art (0.6253477),Toy (0.5849146),Collage (0.5529953),Learning (0.5098851),null (null),null (null)
Product (0.97531104),Baby safety (0.9652549),Baby Products (0.93226826),Infant bed (0.92288136),Furniture (0.8288961),Room (0.8152758),Child (0.72773254),Picture frame (0.6106122),Bed (0.5860927),Nursery (0.5724963)
Furniture (0.76385695),Room (0.7444316),Child (0.71164453),null (null),null (null),null (null),null (null),null (null),null (null),null (null)
People in nature (0.9789405),Photograph (0.97425663),Natural environment (0.9003941),Dress (0.88378125),Wedding dress (0.87419844),Forest (0.86977166),Woodland (0.8658451),Male (0.83209765),Tree (0.82545435),Formal wear (0.7976953)
Photograph (0.949849),Snapshot (0.83863705),Event (0.7634309),Smile (0.7291945),Fun (0.7039424),Formal wear (0.6976117),Love (0.6646717),Dress (0.63002753),Photography (0.62422496),Gentleman (0.5962818)
Product (0.97512364),Baby carriage (0.9609129),Baby Products (0.7803172),Cart (0.7321493),Vehicle (0.7238019),Carriage (0.6293192),null (null),null (null),null (null),null (null)
Photograph (0.9610321),Snapshot (0.8507856),Child (0.6452686),Grandparent (0.6284769),Event (0.6273696),Birth (0.5935944),Mother (0.5874838),Photo caption (0.5130243),Family (0.5103591),Daughter (0.5043391)
Photograph (0.9633902),People (0.94799167),Snapshot (0.8617218),Adaptation (0.77257794),Grandparent (0.7723888),Fun (0.7039424),Room (0.6566393),Mother (0.6455933),Event (0.6273696),Photography (0.62422496)
Room (0.95021397),Hearth (0.9213581),Living room (0.9048428),Property (0.90339285),Home (0.87777),House (0.8624536),Fireplace (0.8615492),Interior design (0.8583853),Furniture (0.8532265),Building (0.78672546)
Photograph (0.9539291),People (0.94147086),Child (0.7846186),Room (0.71392286),Mother (0.6718601),Adaptation (0.6696612),Grandparent (0.6618648),Photography (0.62422496),Toddler (0.6067842),Sitting (0.57492465)
Product (0.96942484),Baby carriage (0.9671779),Photograph (0.96371436),House (0.88529783),Home (0.8509197),Snapshot (0.8473898),Baby Products (0.8314912),Sitting (0.7749218),Family (0.5946993),Vintage clothing (0.5903255)
Photograph (0.96191007),People (0.94147086),Snapshot (0.8607499),Event (0.7475101),Black-and-white (0.74367446),Family (0.687323),Photography (0.62422496),Grandparent (0.5912803),Monochrome (0.5442906),Vintage clothing (0.53451407)
Photograph (0.96561474),Black-and-white (0.8265277),Gentleman (0.7921382),Ceremony (0.7796494),Wedding (0.77844656),Marriage (0.7371975),Groom (0.731306),Event (0.7228018),Formal wear (0.7123611),Monochrome (0.70229715)
Photograph (0.97318923),Marriage (0.8715495),Gentleman (0.8524495),Lady (0.8433756),Snapshot (0.83863705),Wedding dress (0.8360245),Ceremony (0.82584906),Male (0.8184922),Wedding (0.81118375),Veil (0.8087978)
Photograph (0.97472733),Ceremony (0.85661906),Wedding (0.8450269),Snapshot (0.82030433),Dress (0.8187919),Wedding dress (0.80802304),Bride (0.7829044),Event (0.7587337),Gown (0.74796224),Bridal clothing (0.65622526)
Photograph (0.9756653),Social group (0.9088465),Ceremony (0.8854936),Wedding (0.88519424),Event (0.85455894),Dress (0.7719663),Bride (0.7489722),Formal wear (0.7123611),Wedding dress (0.69735247),Gown (0.6446006)
Photograph (0.97029966),Classic (0.9337109),Vehicle (0.90781873),Motor vehicle (0.9010037),Car (0.8676498),Snapshot (0.8291832),Luxury vehicle (0.82225096),Male (0.80898863),Dress (0.8059697),Photography (0.62422496)
Photograph (0.951403),Event (0.8409055),Fun (0.801143),Formal wear (0.7563748),Gentleman (0.73507804),Suit (0.70870614),Ceremony (0.6917068),Photography (0.62422496),Tuxedo (0.5974624),Wedding (0.56194186)
Suit (0.9548776),Formal wear (0.953156),Gown (0.89216596),Wedding dress (0.88583773),Dress (0.87393016),Tuxedo (0.87168825),Groom (0.8555298),Ceremony (0.8501029),Event (0.84486216),Bridal clothing (0.8357642)
Snapshot (0.82509655),Window (0.74684227),Home (0.7404159),Painting (0.7239087),Plant (0.72040075),House (0.6828887),Adaptation (0.6696612),Flower (0.66754466),Floristry (0.64136904),Art (0.6253477)
Photograph (0.96917427),People (0.9553098),Social group (0.9068912),Snapshot (0.8358544),Monochrome (0.7240434),Tree (0.68692183),Black-and-white (0.6834213),Vintage clothing (0.63992953),Event (0.6273696),Photography (0.62422496)
Photograph (0.951403),Lady (0.8985191),Gown (0.86775595),Dress (0.8519193),Bride (0.76497567),Wedding dress (0.7470308),Bridal clothing (0.70300066),Formal wear (0.6806072),Textile (0.6563325),Marriage (0.6324588)
Photograph (0.97826916),Snapshot (0.8959741),Standing (0.8481004),Vintage clothing (0.84667265),Dress (0.74332196),Photography (0.7060428),Black-and-white (0.6834213),Stock photography (0.67624575),Retro style (0.6392397),Family (0.6268536)
Photograph (0.9738528),White (0.95470667),Standing (0.90538937),Snapshot (0.899551),Black-and-white (0.89516586),Photography (0.7940417),Picture frame (0.7508644),Tree (0.68692183),Monochrome (0.67593247),Stock photography (0.66633123)
Photograph (0.97670984),Standing (0.8621847),Snapshot (0.8607499),Ceremony (0.8432328),Black-and-white (0.8415112),Dress (0.8347736),Gown (0.81614137),Wedding dress (0.8099523),Male (0.80898863),Wedding (0.80648655)
Photograph (0.97773665),Black-and-white (0.93056667),Snapshot (0.9036433),Monochrome photography (0.90126336),Standing (0.8757867),Monochrome (0.86852473),Photography (0.82616985),Gentleman (0.76587254),Stock photography (0.7545414),Vintage clothing (0.6600149)
People (0.95261145),Social group (0.90480846),Event (0.74063903),History (0.7088756),Family (0.66744924),Black-and-white (0.564079),Team (0.5231971),null (null),null (null),null (null)
Photograph (0.9694192),Snapshot (0.892937),House (0.7618794),Black-and-white (0.74367446),Photography (0.73799706),History (0.7088756),Building (0.7047084),Paper product (0.69447935),Room (0.6566393),Architecture (0.65451187)
Photograph (0.9748623),People (0.9575554),Standing (0.89542985),Snapshot (0.8777859),Family (0.7224702),Photography (0.7060428),Classic (0.68556935),Stock photography (0.65439934),Vintage clothing (0.5996707),Child (0.57330555)
Photograph (0.9779359),Snapshot (0.90051717),Vintage clothing (0.82004493),Black-and-white (0.8072261),Retro style (0.7789116),Photography (0.7640012),Stock photography (0.7136223),Monochrome (0.67593247),Event (0.6704324),Family (0.649188)
People (0.9799148),Photograph (0.9567608),Social group (0.92113644),Snapshot (0.8411401),Family (0.7655283),Family reunion (0.7587689),Tree (0.68692183),Photography (0.6778865),Child (0.6712812),Adaptation (0.6696612)
Photograph (0.9745431),Black-and-white (0.899411),Snapshot (0.8850622),Room (0.8263952),Monochrome photography (0.76222306),Table (0.7572663),Photography (0.74846256),Family (0.62329465),Monochrome (0.60101867),Rehearsal dinner (0.5452636)
Photograph (0.97324765),Snapshot (0.87304014),Black-and-white (0.74367446),Stock photography (0.743648),Photography (0.73799706),Vintage clothing (0.7079197),Event (0.6704324),Room (0.6566393),Monochrome (0.60101867),Ceremony (0.56492394)
Photograph (0.9768603),Snapshot (0.88672835),Black-and-white (0.8265277),Monochrome (0.75798035),Photography (0.74846256),Vintage clothing (0.73267525),Event (0.7228018),Stock photography (0.70398533),Gentleman (0.65103614),Monochrome photography (0.64696777)
Photograph (0.96003306),White (0.95470667),Monochrome (0.8718051),Black-and-white (0.8535379),Event (0.7998849),Standing (0.7958224),Monochrome photography (0.76222306),Fun (0.7039424),Photography (0.62422496),Vintage clothing (0.58045346)
Photograph (0.97059536),Black-and-white (0.88501847),Snapshot (0.8805255),Monochrome (0.82616186),Monochrome photography (0.7852431),Event (0.710556),Photography (0.6778865),Stock photography (0.5944116),Crowd (0.578055),Style (0.50951844)
Photograph (0.9752948),Snapshot (0.89906037),Black-and-white (0.8717613),Standing (0.842263),Photography (0.74846256),Retro style (0.7386699),Fun (0.7039424),Gentleman (0.70063037),Monochrome photography (0.6963509),Vintage clothing (0.6885432)
Photograph (0.97122663),Wedding dress (0.94804275),Bride (0.9356562),Gown (0.92589754),Lady (0.9142523),Dress (0.90250254),Bridal clothing (0.8962218),Formal wear (0.8782389),Marriage (0.8540602),Groom (0.8524196)
Event (0.7587337),null (null),null (null),null (null),null (null),null (null),null (null),null (null),null (null),null (null)
Photograph (0.9738528),Lady (0.87780344),Snapshot (0.87075907),Vintage clothing (0.79386705),Fashion (0.7885616),Wedding (0.78779787),Wedding dress (0.74472034),Dress (0.73837346),Ceremony (0.71724904),Bride (0.7011167)
Photograph (0.97844535),People (0.9575554),Wedding (0.89150035),Dress (0.8812158),Ceremony (0.8628333),Wedding dress (0.85719496),Gown (0.8412284),Snapshot (0.83863705),Bride (0.8351635),Formal wear (0.8282244)
Photograph (0.97758067),People (0.93434614),Snapshot (0.82030433),Male (0.80898863),Photography (0.80182755),Wedding (0.7924649),Tree (0.778368),Leaf (0.75946116),Dress (0.73837346),Stock photography (0.72830933)
Cake decorating (0.94506645),Cake (0.80925107),Torte (0.8018647),Icing (0.73877984),Formal wear (0.6976117),Anniversary (0.6894325),Suit (0.6802774),Wedding ceremony supply (0.65743804),Baked goods (0.6453919),Food (0.6312297)
Photograph (0.9786307),Snapshot (0.8982296),Black-and-white (0.86344093),Ceremony (0.8147417),Monochrome (0.80325615),Monochrome photography (0.7852431),Wedding (0.78468436),Vintage clothing (0.7685281),Photography (0.75693494),Event (0.7475101)
Photograph (0.97826916),Wedding dress (0.94974047),Gown (0.9473983),Dress (0.939681),Bride (0.9356562),Ceremony (0.8922733),Wedding (0.88519424),Standing (0.8811611),Bridal clothing (0.87841195),Snapshot (0.8760254)
Photograph (0.9786788),Snapshot (0.8812418),Black-and-white (0.8788672),Wedding (0.8400347),Ceremony (0.80941486),Monochrome photography (0.7852431),Dress (0.7753903),Photography (0.77525955),Stock photography (0.72830933),Wedding dress (0.7181587)
Bride (0.9870116),Wedding dress (0.983714),Gown (0.981029),Photograph (0.97617733),Bridal veil (0.9741079),Dress (0.97087556),Veil (0.95233786),Bridal accessory (0.94467795),Bridal clothing (0.9433361),Lady (0.91250753)
People (0.93127215),Adaptation (0.7408302),Event (0.6942809),Sitting (0.6023184),Family (0.58912414),null (null),null (null),null (null),null (null),null (null)
Hair (0.96955127),Hairstyle (0.84745413),Room (0.8152758),Table (0.6379098),Plant (0.6244105),Child (0.61345816),Flower (0.6036634),Furniture (0.5674918),Black hair (0.5165854),null (null)
Event (0.7587337),Family (0.5103591),null (null),null (null),null (null),null (null),null (null),null (null),null (null),null (null)
Photograph (0.951403),Child (0.8401895),Snapshot (0.82030433),Mother (0.816125),Birth (0.8079769),Baby (0.8019237),Love (0.7543427),Father (0.7034389),Daughter (0.60329676),Family (0.573045)
Stock photography (0.65439934),Home (0.6371706),Window (0.6250683),House (0.59287196),Porch (0.5189677),null (null),null (null),null (null),null (null),null (null)
Food (0.79553264),Gingerbread house (0.7065605),Dessert (0.6818991),Gingerbread (0.64544743),Child (0.61345816),Christmas eve (0.547143),Christmas (0.53854567),Toddler (0.5167525),Cake (0.5097991),Party (0.50305915)
Art (0.6253477),Artist (0.5338887),World (0.5313754),Toy (0.5266255),Child (0.5202996),null (null),null (null),null (null),null (null),null (null)
People (0.93434614),Event (0.6273696),Family (0.5693733),null (null),null (null),null (null),null (null),null (null),null (null),null (null)
Blessing (0.69593275),Event (0.6273696),Pope (0.6093525),Priesthood (0.60127044),Ritual (0.5461811),Presbyter (0.542534),null (null),null (null),null (null),null (null)
Bride (0.97516304),Photograph (0.9588809),Wedding dress (0.9429994),Marriage (0.9148578),Bridal clothing (0.8947355),Ceremony (0.88852745),Flower Arranging (0.87613785),Wedding (0.86411947),Lady (0.85497016),Groom (0.84613854)
People (0.9450432),Social group (0.90480846),Event (0.8957278),Ceremony (0.8432328),Wedding (0.7418412),Family (0.66538537),Formal wear (0.5713131),null (null),null (null),null (null)
Event (0.710556),Adaptation (0.6696612),Room (0.6566393),Child (0.5202996),Art (0.5021872),null (null),null (null),null (null),null (null),null (null)
People (0.93127215),Child (0.9232795),Product (0.8828333),Toddler (0.783114),Room (0.7444316),Iris (0.7070305),Toy (0.61797756),Baby (0.56624424),Family (0.55716366),Baby Products (0.54873914)
Room (0.6566393),Christmas eve (0.5974827),null (null),null (null),null (null),null (null),null (null),null (null),null (null),null (null)
Photograph (0.96459967),Suit (0.9310302),Formal wear (0.88252646),Gentleman (0.8790636),Snapshot (0.83273077),Photography (0.7060428),Tuxedo (0.6875622),White-collar worker (0.6836757),Tie (0.6505475),Family (0.6070408)
Child (0.83561254),Fun (0.7039424),Technology (0.67578053),Adaptation (0.6696612),Event (0.6273696),Electronic device (0.6098916),Toddler (0.5823907),Family (0.5312489),Play (0.5086635),null (null)
Child (0.87700176),Reading (0.697114),Adaptation (0.6696612),Learning (0.6512669),Toddler (0.5530699),Kindergarten (0.5489728),null (null),null (null),null (null),null (null)
People (0.9594623),Social group (0.9374782),Event (0.7813612),Family (0.69804096),null (null),null (null),null (null),null (null),null (null),null (null)
Room (0.7444316),Art (0.6253477),Furniture (0.5937384),null (null),null (null),null (null),null (null),null (null),null (null),null (null)
Travel trailer (0.90799576),RV (0.86986744),Vehicle (0.8042822),Caravan (0.7572625),Leisure (0.68095535),Trailer (0.6724865),Recreation (0.6695586),Car (0.6146899),Camping (0.6135192),Tent (0.59238946)
Sitting (0.8151336),Child (0.8005077),Leg (0.69203323),Comfort (0.57358825),Toddler (0.5530699),Mother (0.5486586),Furniture (0.5331731),null (null),null (null),null (null)
Event (0.8290999),Wedding ceremony supply (0.81537616),Male (0.80898863),Marriage (0.80249804),Icing (0.7774247),Ceremony (0.7759624),Wedding cake (0.7682008),Cake decorating (0.7637377),Anniversary (0.7310315),Groom (0.7267763)
Mountainous landforms (0.90606135),Wilderness (0.9041077),Tent (0.88723177),Grassland (0.85581744),Camping (0.84882754),Plant community (0.83602387),Mountain (0.80346215),Mountain range (0.78822327),Ecoregion (0.7673069),Grass (0.76197845)
Toy (0.97266304),Play (0.9032833),Playset (0.8717656),Child (0.7755196),Lego (0.72462857),Baby toys (0.7167683),Toy block (0.6925645),Toddler (0.6067842),Games (0.5211578),Educational toy (0.5040652)
Land vehicle (0.9961627),Vehicle (0.99030316),Car (0.98701257),Classic (0.9655435),Antique car (0.94637054),Classic car (0.9194788),Mid-size car (0.9053204),Vintage car (0.8560951),Automotive design (0.72283965),Sedan (0.70805645)
Dog (0.9662284),Canidae (0.94209874),Sporting Group (0.77228606),Dog breed (0.74637085),Companion dog (0.69110227),Carnivore (0.6610569),Hound (0.6082776),Ancient dog breeds (0.57528174),Spaniel (0.5670233),King charles spaniel (0.52863)
Snow (0.9854844),Winter (0.950566),Ski (0.9467637),Ski Equipment (0.9232057),Winter sport (0.90571076),Skiing (0.900887),Recreation (0.83995336),Piste (0.77766865),Ski pole (0.72565645),Cross-country skier (0.7156199)
Snow (0.9826719),Winter (0.9166862),Fun (0.91160005),Outdoor recreation (0.9085759),Recreation (0.88545275),Geological phenomenon (0.8487431),Winter sport (0.84827906),Vacation (0.8029884),Leisure (0.75978106),Mountain (0.7256607)
Swimming pool (0.9809198),Leisure (0.7709533),Sky (0.7326111),Vacation (0.7312843),Tourism (0.7109198),Vehicle (0.70328534),Building (0.660251),Recreation (0.59429896),Resort (0.5932416),Deck (0.58572865)
Photograph (0.9588809),Dress (0.9370679),Wedding dress (0.93307906),Bride (0.92588896),Clothing (0.91572547),Lady (0.90641123),Classic (0.90347666),Gown (0.8980564),Bridal clothing (0.88731647),Car (0.8001881)
Pyramid (0.9871812),Monument (0.92981035),Desert (0.90119296),Natural environment (0.8843857),Landscape (0.8076685),Ecoregion (0.80131733),Tourism (0.7985207),Travel (0.74559134),Historic site (0.73534036),Sky (0.7326111)
Camel (0.9909189),Camelid (0.9787347),Arabian camel (0.9691971),Pyramid (0.9252493),Pack animal (0.8399092),Monument (0.83333015),Mode of transport (0.80817014),Ancient history (0.8026059),Working animal (0.79943806),Rein (0.7779744)
Photograph (0.95591426),Formal wear (0.8282244),Ceremony (0.81343454),Dress (0.7786826),Event (0.73256063),Gown (0.72195596),Wedding (0.7166848),Groom (0.6599337),Bride (0.6571243),Wedding dress (0.64154536)
Vehicle (0.91255045),Car (0.8873702),Mode of transport (0.8725296),Mountain range (0.81725025),Mountain (0.73402464),Road (0.7273937),Vacation (0.6860961),Tourism (0.66170925),Road trip (0.66073686),Travel (0.6378265)
Standing (0.8280285),Plant (0.6616108),Flower (0.66003364),Event (0.6273696),null (null),null (null),null (null),null (null),null (null),null (null)
Wedding dress (0.96744776),Bride (0.9654639),Gown (0.9590416),Photograph (0.9588809),Formal wear (0.9441911),Groom (0.9336107),Bridal clothing (0.93314594),Ceremony (0.9327915),Dress (0.9307387),Wedding (0.9103443)
Photograph (0.9734752),Balloon (0.92677754),Black-and-white (0.8904043),Snapshot (0.8769258),Party supply (0.8614724),Monochrome (0.8435845),Monochrome photography (0.8040481),Event (0.7676698),Photography (0.7060428),Stock photography (0.6846679)
Social group (0.9428512),People (0.9393769),Event (0.89854354),Community (0.81464916),Crowd (0.6268819),Ceremony (0.56492394),Team (0.5231971),Family (0.5179361),Tourism (0.5114329),null (null)
Photograph (0.96965337),Ceremony (0.89078057),Bride (0.88269603),Dress (0.863724),Gown (0.8600683),Wedding dress (0.84672785),Tradition (0.8369055),Place of worship (0.8285335),Event (0.8139037),Marriage (0.81311464)
Toy (0.8402242),Stuffed toy (0.5360232),Child (0.5202996),null (null),null (null),null (null),null (null),null (null),null (null),null (null)
Present (0.7560432),Still life (0.7460732),Flower (0.53818727),Art (0.5021872),null (null),null (null),null (null),null (null),null (null),null (null)
Toy (0.9636917),Play (0.87698996),Child (0.7846186),Playset (0.7554138),Baby toys (0.64211935),Toy block (0.6361438),Toddler (0.6275347),Dollhouse (0.5869431),null (null),null (null)
People (0.9515836),Tourism (0.84744745),Event (0.8211174),Crowd (0.7964476),Fun (0.7039424),Temple (0.6468174),Vacation (0.6000337),Pedestrian (0.5838859),Travel (0.5482437),null (null)
Motor vehicle (0.98018134),Transport (0.95328623),Mode of transport (0.93023694),Vehicle (0.9291238),Tree (0.83482164),Mountain (0.7862563),Car (0.78072804),Road (0.7684309),Bigtree (0.7374413),Road trip (0.67890173)
Mountainous landforms (0.9395179),Regularity rally (0.93807954),Vehicle (0.9272749),Car (0.8843887),Transport (0.86291295),Travel (0.8389215),Mode of transport (0.80817014),Tourism (0.80271447),Mountain (0.74563795),Mountain range (0.7357027)
Mode of transport (0.96026826),Transport (0.94296443),Vehicle (0.93541586),Motor vehicle (0.9010037),Hill station (0.869732),Car (0.8411391),Travel (0.7772607),Tourism (0.73358697),Mountain range (0.6310219),Mountain (0.6030708)
People (0.94799167),Pedestrian (0.87422854),Mode of transport (0.8394081),Crowd (0.83794445),Public space (0.8187202),Metropolitan area (0.69083405),City (0.67357486),Street (0.6169727),Temple (0.611309),Tourism (0.608511)
Photograph (0.949849),Standing (0.83563834),Snapshot (0.8291832),Brick (0.8147703),Wall (0.78461206),Brickwork (0.7587399),Gentleman (0.74867886),Suit (0.70870614),Outerwear (0.6577929),Violinist (0.65474176)
Room (0.6566393),Food (0.6312297),Meal (0.5631263),Cuisine (0.53684205),Dish (0.5277461),null (null),null (null),null (null),null (null),null (null)
Meal (0.68640864),Adaptation (0.6696612),Play (0.616635),Food (0.50836086),null (null),null (null),null (null),null (null),null (null),null (null)
Summer (0.7565422),Recreation (0.59429896),Barechested (0.51818115),null (null),null (null),null (null),null (null),null (null),null (null),null (null)
Standing (0.81915694),Play (0.80117935),Child (0.76547754),Room (0.76465386),Toddler (0.6275347),Toy (0.5266255),null (null),null (null),null (null),null (null)
Room (0.7444316),Child (0.57330555),null (null),null (null),null (null),null (null),null (null),null (null),null (null),null (null)
Photograph (0.9480249),People (0.94147086),Social group (0.91406703),Youth (0.8740389),Event (0.8708519),Community (0.81464916),Fun (0.7039424),Smile (0.5404296),Family (0.52486706),Crowd (0.5069608)
Event (0.6704324),T-shirt (0.6585062),Family (0.59733766),Costume (0.5891909),Child (0.5202996),null (null),null (null),null (null),null (null),null (null)
Room (0.76465386),Family (0.5179361),null (null),null (null),null (null),null (null),null (null),null (null),null (null),null (null)
Toy (0.9385304),Playset (0.86084425),Play (0.76351476),Child (0.72773254),Lego (0.7224384),Table (0.58647066),Toddler (0.5167525),Miniature (0.51626784),null (null),null (null)
Still life (0.91067946),Still life photography (0.85193133),Room (0.76465386),Porcelain (0.7513175),Painting (0.73733395),Flower (0.7353832),Plant (0.70779586),Table (0.6379098),Photography (0.62422496),Figurine (0.6221223)
Tourist attraction (0.5813664),null (null),null (null),null (null),null (null),null (null),null (null),null (null),null (null),null (null)
Tourism (0.9331502),Chinese architecture (0.9315051),Travel (0.90825903),Temple (0.82150644),Temple (0.80328834),Shrine (0.7965421),Leisure (0.74645007),Architecture (0.7263346),Historic site (0.7099734),Place of worship (0.6864393)
Tourism (0.88870746),Vacation (0.8485867),Water (0.8073041),Architecture (0.65451187),Place of worship (0.5650872),Leisure (0.5618612),Building (0.53372097),World (0.5313754),null (null),null (null)
Land vehicle (0.9961627),Vehicle (0.99030316),Car (0.98701257),Luxury vehicle (0.9521719),Motor vehicle (0.9010037),Full-size car (0.88563967),Classic car (0.79068995),Sedan (0.6831474),Cadillac brougham (0.6305821),Coupé (0.6057877)
People (0.9642146),Social group (0.96169287),Community (0.8279813),Event (0.81645364),Team (0.7045194),Adaptation (0.6696612),Family (0.63024867),Family reunion (0.61779386),null (null),null (null)
Event (0.8585611),Eating (0.72128946),Food (0.6662648),Meal (0.65471965),Taste (0.6419763),Lunch (0.61189985),Party (0.5541804),Cuisine (0.54911363),Conversation (0.5254521),null (null)
Play (0.8302253),Child (0.74183375),Toy (0.61797756),Toy block (0.6044316),null (null),null (null),null (null),null (null),null (null),null (null)
Child (0.9751556),Toy (0.9740584),Play (0.9563892),Toddler (0.87559235),Toy block (0.83633363),Playset (0.80080646),Sharing (0.76457876),Lego (0.7437176),Fun (0.7039424),Kindergarten (0.68755233)
Land vehicle (0.9961627),Vehicle (0.99030316),Car (0.98701257),Luxury vehicle (0.97182524),Mercedes-benz (0.820573),Full-size car (0.7641837),Mercedes-benz w126 (0.7293343),Mercedes-benz w201 (0.6885396),Sedan (0.6877751),Mercedes-benz w124 (0.6612657)
Photograph (0.97542006),Bride (0.9685648),Wedding dress (0.9583946),White (0.95470667),Gown (0.9461573),Facial expression (0.9445514),Wedding (0.9216224),Dress (0.91860133),Ceremony (0.9172317),Bridal clothing (0.9127275)
Ceremony (0.8981843),Event (0.86921585),Wedding (0.857007),Bride (0.73261726),Marriage (0.7313453),Wedding dress (0.7305036),Groom (0.69022596),Dress (0.67651975),Formal wear (0.6369653),Bridal clothing (0.61647534)
Land vehicle (0.9961627),Vehicle (0.99030316),Car (0.98701257),Classic car (0.77200264),Classic (0.7198517),Sedan (0.69838756),Coupé (0.5990719),null (null),null (null),null (null)
Photograph (0.97425663),Bride (0.95391184),Wedding dress (0.9531659),Facial expression (0.94438577),Groom (0.9383343),Wedding (0.9130028),Gown (0.9108504),Ceremony (0.91060054),Formal wear (0.9088981),Bridal clothing (0.90668046)
Photograph (0.9626903),Tree (0.83482164),Dress (0.81679446),Mansion (0.73000985),House (0.7015267),Wedding (0.68798625),Ceremony (0.673997),Architecture (0.65451187),Plant (0.6463999),Photography (0.62422496)
Event (0.8082634),null (null),null (null),null (null),null (null),null (null),null (null),null (null),null (null),null (null)
Table (0.8325118),Child (0.8307369),Room (0.7444316),Meal (0.7340509),Play (0.71399117),Adaptation (0.6696612),Sharing (0.6585976),Furniture (0.5674918),House (0.5369301),Party (0.5309453)
