tag 1,pct 1,tag 2,pct 2,tag 3,pct 3,tag 4,pct 4,tag 5,pct 5
10s,0.38662392,20s,0.20106685,50s,0.12101069,00s,0.11575686,40s,0.064686835
10s,0.30247402,40s,0.26968268,20s,0.1491399,00s,0.1477247,50s,0.09488761
10s,0.32606164,40s,0.2510779,20s,0.14115877,00s,0.1159887,50s,0.1147371
10s,0.48389673,00s,0.31018472,20s,0.09248446,40s,0.07345971,50s,0.020478664
10s,0.52245915,40s,0.17371978,00s,0.16998659,20s,0.06991395,50s,0.031622928
20s,0.33509532,10s,0.25743002,00s,0.14015922,40s,0.12586032,30s,0.088479236
10s,0.4091227,00s,0.2897528,20s,0.1789135,40s,0.062197704,30s,0.042893082
10s,0.60693944,00s,0.17872006,20s,0.10194259,40s,0.059998374,50s,0.023803897
40s,0.45135555,10s,0.17882687,50s,0.14811866,00s,0.14083895,20s,0.051461983
10s,0.40909567,40s,0.24436949,00s,0.15824391,20s,0.08036455,50s,0.078863725
20s,0.2603094,00s,0.2283166,10s,0.20201392,30s,0.13157761,40s,0.09117165
50s,0.40195563,40s,0.19594829,20s,0.1647644,10s,0.07266882,00s,0.0677454
30s,0.3449847,20s,0.31110683,50s,0.19186476,40s,0.0647973,00s,0.02842828
30s,0.44728875,20s,0.3745761,50s,0.054232743,00s,0.034535985,40s,0.031352956
20s,0.5004344,30s,0.15458897,10s,0.111343235,40s,0.09895291,00s,0.073434964
20s,0.38116527,30s,0.321297,10s,0.19147256,00s,0.068180345,40s,0.019739918
30s,0.5721356,20s,0.14019054,50s,0.13093486,60s,0.05361698,70s,0.048218306
20s,0.5556551,30s,0.35566768,10s,0.040991135,00s,0.024566527,50s,0.01387666
20s,0.34386042,30s,0.27669242,50s,0.1299471,40s,0.08687825,10s,0.06406029
20s,0.4266109,50s,0.15075903,30s,0.14548148,00s,0.11202521,40s,0.101624906
50s,0.48770642,20s,0.19273658,40s,0.12048387,30s,0.069458544,10s,0.044050697
20s,0.53611493,30s,0.26276413,50s,0.09633941,40s,0.027943665,00s,0.02512503
20s,0.44697776,30s,0.29405937,50s,0.07486429,00s,0.0654095,10s,0.051268373
30s,0.24853662,50s,0.19403462,20s,0.16246548,40s,0.15511833,10s,0.11300823
20s,0.7539597,30s,0.15998873,00s,0.028843537,50s,0.021557821,10s,0.011453903
20s,0.38843974,30s,0.2013629,50s,0.15613666,70s,0.09581765,60s,0.060837083
20s,0.78706104,30s,0.12613942,00s,0.03194286,50s,0.019238962,10s,0.01413601
20s,0.56307983,30s,0.1791979,10s,0.12548795,00s,0.05160869,40s,0.04496105
20s,0.6903858,30s,0.16113243,00s,0.03749196,50s,0.034731153,40s,0.02183746
20s,0.47663194,30s,0.20180595,10s,0.116921514,00s,0.07900403,40s,0.074183576
20s,0.40893194,30s,0.22715537,50s,0.09396895,60s,0.07102441,10s,0.06899332
30s,0.61684483,20s,0.17549172,50s,0.08240339,70s,0.05339392,00s,0.02573039
30s,0.660764,20s,0.2678379,50s,0.03461236,70s,0.01185124,60s,0.008152462
30s,0.46314755,20s,0.26777145,50s,0.09056312,10s,0.05117228,00s,0.04012721
20s,0.3436962,30s,0.28785998,10s,0.22115642,50s,0.043403186,00s,0.04057948
20s,0.49380872,30s,0.38175714,50s,0.058290005,60s,0.021323534,70s,0.0145366145
30s,0.53257,50s,0.18503603,20s,0.15526631,60s,0.0352703,40s,0.032230776
20s,0.5623557,30s,0.28040275,50s,0.05049579,60s,0.041563835,70s,0.02212512
30s,0.63229066,20s,0.1956516,50s,0.08501352,60s,0.03541048,70s,0.03375656
10s,0.4452578,20s,0.20059493,00s,0.1940967,40s,0.07969071,30s,0.03908489
50s,0.50888926,60s,0.18395714,70s,0.08990724,20s,0.0872369,40s,0.072502606
30s,0.54580325,20s,0.24322163,50s,0.0756297,00s,0.05089191,10s,0.045746256
20s,0.6315235,30s,0.25678697,50s,0.040482983,00s,0.029175773,10s,0.016616076
30s,0.8356308,20s,0.12620552,50s,0.014069285,70s,0.0126309395,60s,0.0037486083
30s,0.81457514,20s,0.11517138,50s,0.036029518,70s,0.012610041,60s,0.009629437
30s,0.2529132,10s,0.16798325,20s,0.16382447,40s,0.1526404,00s,0.13164161
30s,0.5576768,20s,0.19923915,50s,0.12983575,70s,0.044474177,60s,0.027981482
30s,0.30106342,20s,0.185913,40s,0.16195244,50s,0.15965657,60s,0.078912735
20s,0.47249633,00s,0.17842402,10s,0.15169404,30s,0.10347197,40s,0.06475057
50s,0.4346729,30s,0.26224986,60s,0.091435455,20s,0.08666466,40s,0.05806919
30s,0.46468914,20s,0.26374367,50s,0.078055814,70s,0.07186218,10s,0.042658888
30s,0.6529343,50s,0.11190672,60s,0.07088892,20s,0.06629267,70s,0.046425812
30s,0.5607648,50s,0.17724986,20s,0.15431657,70s,0.026918761,60s,0.025321972
30s,0.5397859,50s,0.2638531,20s,0.07939388,40s,0.041162495,00s,0.026749693
30s,0.26903257,20s,0.22965677,50s,0.21229161,10s,0.103110194,00s,0.085724615
30s,0.4649973,20s,0.23214853,10s,0.06624291,40s,0.06280784,50s,0.058996286
30s,0.2967298,40s,0.23928365,50s,0.1909485,20s,0.10004359,00s,0.07907834
50s,0.43256262,20s,0.18227188,30s,0.15440047,40s,0.09674939,60s,0.045434684
30s,0.32930806,20s,0.32037672,00s,0.11856534,50s,0.09491166,10s,0.09208266
30s,0.48043695,50s,0.24625595,40s,0.117262594,20s,0.08749539,10s,0.019275606
30s,0.7433142,20s,0.16744275,50s,0.03761636,70s,0.024583349,10s,0.00843656
30s,0.450015,50s,0.20835628,70s,0.13110366,20s,0.12768658,60s,0.034022946
50s,0.35702345,30s,0.29516864,20s,0.21050881,70s,0.034711897,00s,0.0323554
30s,0.78815985,20s,0.10852502,50s,0.038203552,70s,0.037684914,60s,0.015692906
20s,0.324184,30s,0.32392856,50s,0.14447531,60s,0.08808483,70s,0.08092256
30s,0.5550711,20s,0.18649699,50s,0.10325753,70s,0.07963284,60s,0.033319093
30s,0.55094457,20s,0.269485,50s,0.08965526,70s,0.024859592,60s,0.022096707
30s,0.5492824,20s,0.3739157,50s,0.027869511,10s,0.017021144,00s,0.014542317
30s,0.44708717,50s,0.27673015,70s,0.08632818,20s,0.080508985,60s,0.07365001
30s,0.77608997,50s,0.10465066,20s,0.08370051,70s,0.013875574,60s,0.011081969
30s,0.4090559,60s,0.21561849,50s,0.19988036,70s,0.13075295,20s,0.03131795
30s,0.5713953,20s,0.28400198,50s,0.041001372,00s,0.040088527,10s,0.025653537
60s,0.5425028,70s,0.19746716,50s,0.14142412,30s,0.05111528,20s,0.03784455
20s,0.2999964,40s,0.24085115,30s,0.14803232,00s,0.11445348,50s,0.102207415
30s,0.46787706,20s,0.26412532,50s,0.107225485,40s,0.07761025,00s,0.04877888
30s,0.31805804,50s,0.2413223,20s,0.21605408,40s,0.13645,00s,0.026110496
50s,0.28209513,40s,0.21897417,20s,0.18877408,30s,0.14883149,10s,0.06289812
50s,0.23781669,20s,0.20445324,40s,0.19503336,30s,0.16247039,10s,0.10289775
50s,0.36437026,30s,0.3125141,40s,0.13721506,20s,0.12865992,00s,0.024566855
30s,0.74497575,20s,0.17166376,50s,0.05462603,70s,0.010216183,00s,0.0075570852
30s,0.5374131,50s,0.18591532,60s,0.107460916,70s,0.082802415,20s,0.075701445
50s,0.41325644,40s,0.21594855,30s,0.13025866,20s,0.09001643,60s,0.060648344
30s,0.5358272,50s,0.18434511,20s,0.07806066,60s,0.073281735,40s,0.06078118
50s,0.4182531,30s,0.18394698,40s,0.11886621,60s,0.11196652,70s,0.07773998
40s,0.57730347,50s,0.083327405,20s,0.079409145,30s,0.076153494,60s,0.062751785
30s,0.38379478,50s,0.24758469,40s,0.1800968,20s,0.1078226,60s,0.025301455
40s,0.29295647,30s,0.1831704,50s,0.144807,20s,0.10326956,00s,0.077547505
30s,0.23973125,20s,0.21130143,10s,0.17841408,40s,0.11813859,50s,0.095169775
50s,0.4783263,40s,0.17208113,30s,0.09638788,20s,0.091063075,60s,0.061419845
60s,0.4477746,50s,0.28267255,30s,0.090831995,20s,0.076379284,40s,0.058184866
50s,0.6494415,60s,0.19742113,40s,0.07278288,70s,0.05774491,30s,0.010012882
30s,0.59842026,50s,0.14464174,60s,0.08935167,20s,0.088034354,70s,0.0545007
30s,0.35484022,60s,0.29204923,50s,0.16555351,70s,0.0939368,20s,0.054806717
30s,0.6183144,20s,0.26723653,50s,0.035592172,00s,0.030638613,10s,0.020933818
30s,0.48015487,20s,0.22556749,50s,0.14288922,40s,0.04797753,00s,0.035724342
10s,0.24019364,50s,0.19256297,40s,0.19069345,00s,0.17732768,20s,0.07990816
40s,0.7203545,50s,0.09156328,10s,0.07710103,00s,0.07372812,20s,0.01444262
50s,0.53993464,40s,0.33388034,60s,0.08701382,70s,0.017332269,30s,0.011102193
40s,0.5440139,50s,0.41923642,60s,0.020152899,70s,0.004736546,30s,0.0037542165
40s,0.5974814,50s,0.15288909,60s,0.094062515,10s,0.04970478,30s,0.036217097
30s,0.47317237,50s,0.1841782,20s,0.13504249,60s,0.116418734,40s,0.051489655
50s,0.5439729,40s,0.19975257,10s,0.088695884,00s,0.07150402,20s,0.05100574
50s,0.5309069,40s,0.29958257,60s,0.046447825,10s,0.042020485,00s,0.02525844
50s,0.4063405,40s,0.27991077,10s,0.09752173,20s,0.07562757,00s,0.06833873
50s,0.44825155,40s,0.24922585,30s,0.12762678,20s,0.09399739,00s,0.02718993
50s,0.35258624,60s,0.3348107,40s,0.27072066,70s,0.02423611,30s,0.0061356635
40s,0.29016125,20s,0.21678616,50s,0.18141581,30s,0.15670554,60s,0.07903288
40s,0.49078086,50s,0.35457185,60s,0.10087356,20s,0.017954243,30s,0.014003837
40s,0.35965785,50s,0.31439254,60s,0.23034188,70s,0.06696293,30s,0.018196639
20s,0.5095539,30s,0.23330246,00s,0.08201698,10s,0.06588757,50s,0.05137836
30s,0.29365197,50s,0.26602077,60s,0.16460705,20s,0.09774093,70s,0.073501594
40s,0.4872145,50s,0.32290602,60s,0.12624131,70s,0.025825288,10s,0.014137164
50s,0.4086037,40s,0.370612,60s,0.085081264,20s,0.045295082,10s,0.033575572
20s,0.32952,50s,0.22655293,30s,0.16928743,40s,0.16288276,00s,0.04912523
40s,0.59984416,50s,0.23242432,20s,0.041733738,30s,0.036415517,60s,0.031487945
50s,0.40461063,40s,0.23194222,30s,0.1300453,20s,0.12812036,60s,0.05171798
30s,0.45313948,20s,0.25237823,50s,0.11387863,60s,0.08002944,70s,0.044507243
50s,0.35090345,40s,0.29718307,60s,0.21548021,30s,0.07453492,70s,0.029657017
40s,0.6341064,50s,0.20347618,10s,0.043337263,60s,0.036751017,20s,0.02984716
40s,0.4269516,20s,0.1349316,10s,0.13124262,50s,0.101424456,00s,0.09718348
40s,0.6349126,50s,0.14814796,00s,0.08315281,10s,0.06844647,20s,0.03591912
40s,0.42546815,00s,0.1563341,10s,0.14546965,50s,0.1150517,30s,0.079265945
40s,0.69399434,50s,0.182714,60s,0.044624824,00s,0.01965107,30s,0.018542103
50s,0.7263414,40s,0.18605466,10s,0.034818515,00s,0.029089246,30s,0.0076602893
50s,0.28688782,20s,0.20344795,40s,0.17192581,60s,0.09840283,30s,0.09031718
40s,0.48898265,50s,0.18290761,20s,0.122828476,30s,0.080001585,60s,0.057454452
50s,0.6465154,40s,0.10932811,20s,0.092677385,30s,0.06555233,60s,0.04227283
50s,0.2527285,40s,0.24486402,20s,0.15409069,10s,0.15134752,00s,0.1303861
50s,0.29275826,20s,0.24998638,40s,0.17574659,30s,0.17051004,00s,0.054759607
50s,0.30260813,20s,0.20821963,40s,0.1766943,30s,0.12835772,10s,0.065171234
50s,0.29864326,20s,0.2824846,30s,0.15741366,40s,0.15665291,00s,0.04315563
50s,0.48456836,40s,0.24121164,30s,0.1270882,20s,0.052667987,60s,0.036133595
20s,0.57811147,30s,0.27764115,50s,0.06218503,00s,0.0330339,70s,0.014177704
40s,0.5269888,50s,0.17253122,20s,0.09300774,10s,0.063662805,00s,0.058450956
50s,0.42143372,60s,0.26514173,40s,0.17513882,70s,0.06623728,30s,0.04232789
50s,0.6328899,40s,0.23023836,10s,0.05442224,00s,0.044301827,30s,0.014613304
50s,0.41376072,40s,0.36295664,30s,0.07082834,20s,0.06601828,10s,0.03325352
50s,0.6173368,40s,0.28593582,10s,0.039591167,00s,0.021106193,20s,0.016205324
40s,0.59047365,50s,0.3343519,30s,0.020739842,10s,0.014699445,60s,0.012277388
50s,0.58922976,40s,0.3733076,30s,0.008421464,00s,0.0074479864,60s,0.006368893
50s,0.7906782,40s,0.17864782,00s,0.010786155,10s,0.008421314,30s,0.004238363
50s,0.67840403,40s,0.28934273,10s,0.008263789,00s,0.008249215,30s,0.005231123
50s,0.62030286,40s,0.19815624,20s,0.059941646,30s,0.059559945,10s,0.017885283
50s,0.323744,40s,0.3236029,30s,0.1509573,60s,0.09586596,20s,0.05936295
50s,0.31593993,40s,0.2822456,30s,0.13481718,20s,0.12887019,00s,0.048548438
50s,0.618528,40s,0.34297082,10s,0.014535187,00s,0.011684528,30s,0.0047113006
40s,0.781892,50s,0.1809675,10s,0.013984827,00s,0.012789398,30s,0.0037271895
